STATE,ST,GUN VIOLENCE DEATHS PER CAPITA,YEAR,MEDIAN INCOME,OCCUPATION,TOTAL EMPLOYEES,LOCATION,DATE,TOTAL GUN VIOLENCE VICTIMS FROM MASS SHOOTING,TOTAL FIREARMS REPORTS AS LOST OR STOLEN,NUMBER OF REGISTERED FIREARMS
Michigan NA,NA,10.8,2001,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota NA,NA,6.5,2001,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi NA,NA,17.7,2001,NA,NA,NA,NA,NA,NA,NA,NA
Missouri NA,NA,13.1,2001,NA,NA,NA,NA,NA,NA,NA,NA
Montana NA,NA,17.7,2001,NA,NA,NA,NA,NA,NA,NA,NA
Nebraska NA,NA,8.1,2001,NA,NA,NA,NA,NA,NA,NA,NA
Nevada NA,NA,16.5,2001,NA,NA,NA,NA,NA,NA,NA,NA
New Hampshire NA,NA,7.3,2001,NA,NA,NA,NA,NA,NA,NA,NA
New Jersey NA,NA,4.4,2001,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico NA,NA,15.3,2001,NA,NA,NA,NA,NA,NA,NA,NA
New York NA,NA,5.5,2001,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina NA,NA,13.1,2001,NA,NA,NA,NA,NA,NA,NA,NA
North Dakota NA,NA,7.6,2001,NA,NA,NA,NA,NA,NA,NA,NA
Ohio NA,NA,9,2001,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma NA,NA,14,2001,NA,NA,NA,NA,NA,NA,NA,NA
Oregon NA,NA,10.2,2001,NA,NA,NA,NA,NA,NA,NA,NA
Pennsylvania NA,NA,9.5,2001,NA,NA,NA,NA,NA,NA,NA,NA
Rhode Island NA,NA,4.3,2001,NA,NA,NA,NA,NA,NA,NA,NA
South Carolina NA,NA,13.8,2001,NA,NA,NA,NA,NA,NA,NA,NA
South Dakota NA,NA,7.1,2001,NA,NA,NA,NA,NA,NA,NA,NA
Tennessee NA,NA,14.5,2001,NA,NA,NA,NA,NA,NA,NA,NA
Texas NA,NA,11.2,2001,NA,NA,NA,NA,NA,NA,NA,NA
Utah NA,NA,11,2001,NA,NA,NA,NA,NA,NA,NA,NA
Vermont NA,NA,8.1,2001,NA,NA,NA,NA,NA,NA,NA,NA
Virginia NA,NA,10.6,2001,NA,NA,NA,NA,NA,NA,NA,NA
Washington NA,NA,8.6,2001,NA,NA,NA,NA,NA,NA,NA,NA
West Virginia NA,NA,13.1,2001,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin NA,NA,8.7,2001,NA,NA,NA,NA,NA,NA,NA,NA
Wyoming NA,NA,14,2001,NA,NA,NA,NA,NA,NA,NA,NA
Alabama NA,NA,16.1,2002,NA,NA,NA,NA,NA,NA,NA,NA
Alaska NA,NA,19.9,2002,NA,NA,NA,NA,NA,NA,NA,NA
Arizona NA,NA,18,2002,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas NA,NA,16.3,2002,NA,NA,NA,NA,NA,NA,NA,NA
California NA,NA,9.8,2002,NA,NA,NA,NA,NA,NA,NA,NA
Colorado NA,NA,11.5,2002,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut NA,NA,4.3,2002,NA,NA,NA,NA,NA,NA,NA,NA
Delaware NA,NA,9.1,2002,NA,NA,NA,NA,NA,NA,NA,NA
Florida NA,NA,11,2002,NA,NA,NA,NA,NA,NA,NA,NA
Georgia NA,NA,13.4,2002,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii NA,NA,2.8,2002,NA,NA,NA,NA,NA,NA,NA,NA
Idaho NA,NA,12.4,2002,NA,NA,NA,NA,NA,NA,NA,NA
Illinois NA,NA,9.7,2002,NA,NA,NA,NA,NA,NA,NA,NA
Indiana NA,NA,11.7,2002,NA,NA,NA,NA,NA,NA,NA,NA
Iowa NA,NA,6.8,2002,NA,NA,NA,NA,NA,NA,NA,NA
Kansas NA,NA,9.8,2002,NA,NA,NA,NA,NA,NA,NA,NA
Kentucky NA,NA,13.1,2002,NA,NA,NA,NA,NA,NA,NA,NA
Louisiana NA,NA,19.4,2002,NA,NA,NA,NA,NA,NA,NA,NA
Maine NA,NA,6.6,2002,NA,NA,NA,NA,NA,NA,NA,NA
Maryland NA,NA,11.5,2002,NA,NA,NA,NA,NA,NA,NA,NA
Massachusetts NA,NA,3.1,2002,NA,NA,NA,NA,NA,NA,NA,NA
Michigan NA,NA,11,2002,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota NA,NA,6.1,2002,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi NA,NA,17.3,2002,NA,NA,NA,NA,NA,NA,NA,NA
Missouri NA,NA,12.2,2002,NA,NA,NA,NA,NA,NA,NA,NA
Montana NA,NA,14.6,2002,NA,NA,NA,NA,NA,NA,NA,NA
Nebraska NA,NA,8.1,2002,NA,NA,NA,NA,NA,NA,NA,NA
Nevada NA,NA,17.2,2002,NA,NA,NA,NA,NA,NA,NA,NA
New Hampshire NA,NA,5.9,2002,NA,NA,NA,NA,NA,NA,NA,NA
New Jersey NA,NA,4.9,2002,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico NA,NA,16.6,2002,NA,NA,NA,NA,NA,NA,NA,NA
New York NA,NA,5.1,2002,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina NA,NA,13.5,2002,NA,NA,NA,NA,NA,NA,NA,NA
North Dakota NA,NA,9.1,2002,NA,NA,NA,NA,NA,NA,NA,NA
Ohio NA,NA,9.3,2002,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma NA,NA,12.9,2002,NA,NA,NA,NA,NA,NA,NA,NA
Oregon NA,NA,10.5,2002,NA,NA,NA,NA,NA,NA,NA,NA
Pennsylvania NA,NA,9.9,2002,NA,NA,NA,NA,NA,NA,NA,NA
Rhode Island NA,NA,5.1,2002,NA,NA,NA,NA,NA,NA,NA,NA
South Carolina NA,NA,13.8,2002,NA,NA,NA,NA,NA,NA,NA,NA
South Dakota NA,NA,7.9,2002,NA,NA,NA,NA,NA,NA,NA,NA
Tennessee NA,NA,15.5,2002,NA,NA,NA,NA,NA,NA,NA,NA
Texas NA,NA,10.9,2002,NA,NA,NA,NA,NA,NA,NA,NA
Utah NA,NA,9.7,2002,NA,NA,NA,NA,NA,NA,NA,NA
Vermont NA,NA,9.7,2002,NA,NA,NA,NA,NA,NA,NA,NA
Virginia NA,NA,11,2002,NA,NA,NA,NA,NA,NA,NA,NA
Washington NA,NA,9.4,2002,NA,NA,NA,NA,NA,NA,NA,NA
West Virginia NA,NA,14.8,2002,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin NA,NA,8.1,2002,NA,NA,NA,NA,NA,NA,NA,NA
Wyoming NA,NA,18.9,2002,NA,NA,NA,NA,NA,NA,NA,NA
Alabama NA,NA,16.9,2003,NA,NA,NA,NA,NA,NA,NA,NA
Alaska NA,NA,19.5,2003,NA,NA,NA,NA,NA,NA,NA,NA
Arizona NA,NA,15.4,2003,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas NA,NA,15.1,2003,NA,NA,NA,NA,NA,NA,NA,NA
California NA,NA,9.8,2003,NA,NA,NA,NA,NA,NA,NA,NA
Colorado NA,NA,11.2,2003,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut NA,NA,4.4,2003,NA,NA,NA,NA,NA,NA,NA,NA
Delaware NA,NA,7.9,2003,NA,NA,NA,NA,NA,NA,NA,NA
Florida NA,NA,11.1,2003,NA,NA,NA,NA,NA,NA,NA,NA
Georgia NA,NA,13.8,2003,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii NA,NA,2.9,2003,NA,NA,NA,NA,NA,NA,NA,NA
Idaho NA,NA,12.4,2003,NA,NA,NA,NA,NA,NA,NA,NA
Illinois NA,NA,9,2003,NA,NA,NA,NA,NA,NA,NA,NA
Indiana NA,NA,11.2,2003,NA,NA,NA,NA,NA,NA,NA,NA
Iowa NA,NA,7,2003,NA,NA,NA,NA,NA,NA,NA,NA
Kansas NA,NA,11.1,2003,NA,NA,NA,NA,NA,NA,NA,NA
Kentucky NA,NA,13.4,2003,NA,NA,NA,NA,NA,NA,NA,NA
Louisiana NA,NA,18.7,2003,NA,NA,NA,NA,NA,NA,NA,NA
Maine NA,NA,6,2003,NA,NA,NA,NA,NA,NA,NA,NA
Maryland NA,NA,11.9,2003,NA,NA,NA,NA,NA,NA,NA,NA
Massachusetts NA,NA,3.1,2003,NA,NA,NA,NA,NA,NA,NA,NA
Michigan NA,NA,10.3,2003,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota NA,NA,6.5,2003,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi NA,NA,16.8,2003,NA,NA,NA,NA,NA,NA,NA,NA
Missouri NA,NA,11.5,2003,NA,NA,NA,NA,NA,NA,NA,NA
Montana NA,NA,15.6,2003,NA,NA,NA,NA,NA,NA,NA,NA
Nebraska NA,NA,7.6,2003,NA,NA,NA,NA,NA,NA,NA,NA
Nevada NA,NA,17.1,2003,NA,NA,NA,NA,NA,NA,NA,NA
New Hampshire NA,NA,6.8,2003,NA,NA,NA,NA,NA,NA,NA,NA
New Jersey NA,NA,5.4,2003,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico NA,NA,17.5,2003,NA,NA,NA,NA,NA,NA,NA,NA
New York NA,NA,5.3,2003,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina NA,NA,12.4,2003,NA,NA,NA,NA,NA,NA,NA,NA
North Dakota NA,NA,8.9,2003,NA,NA,NA,NA,NA,NA,NA,NA
Ohio NA,NA,8.1,2003,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma NA,NA,12.8,2003,NA,NA,NA,NA,NA,NA,NA,NA
Oregon NA,NA,10.7,2003,NA,NA,NA,NA,NA,NA,NA,NA
Pennsylvania NA,NA,9.9,2003,NA,NA,NA,NA,NA,NA,NA,NA
Rhode Island NA,NA,3.1,2003,NA,NA,NA,NA,NA,NA,NA,NA
South Carolina NA,NA,14.2,2003,NA,NA,NA,NA,NA,NA,NA,NA
South Dakota NA,NA,9.9,2003,NA,NA,NA,NA,NA,NA,NA,NA
Tennessee NA,NA,14.2,2003,NA,NA,NA,NA,NA,NA,NA,NA
Texas NA,NA,11.2,2003,NA,NA,NA,NA,NA,NA,NA,NA
Utah NA,NA,10.5,2003,NA,NA,NA,NA,NA,NA,NA,NA
Vermont NA,NA,7.6,2003,NA,NA,NA,NA,NA,NA,NA,NA
Virginia NA,NA,10.9,2003,NA,NA,NA,NA,NA,NA,NA,NA
Washington NA,NA,9.2,2003,NA,NA,NA,NA,NA,NA,NA,NA
West Virginia NA,NA,14.1,2003,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin NA,NA,8.4,2003,NA,NA,NA,NA,NA,NA,NA,NA
Wyoming NA,NA,17.5,2003,NA,NA,NA,NA,NA,NA,NA,NA
Alabama NA,NA,14.8,2004,NA,NA,NA,NA,NA,NA,NA,NA
Alaska NA,NA,17.5,2004,NA,NA,NA,NA,NA,NA,NA,NA
Arizona NA,NA,15.9,2004,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas NA,NA,14.7,2004,NA,NA,NA,NA,NA,NA,NA,NA
California NA,NA,9.3,2004,NA,NA,NA,NA,NA,NA,NA,NA
Colorado NA,NA,12,2004,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut NA,NA,4.9,2004,NA,NA,NA,NA,NA,NA,NA,NA
Delaware NA,NA,8.8,2004,NA,NA,NA,NA,NA,NA,NA,NA
Florida NA,NA,10.5,2004,NA,NA,NA,NA,NA,NA,NA,NA
Georgia NA,NA,12.2,2004,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii NA,NA,3.1,2004,NA,NA,NA,NA,NA,NA,NA,NA
Idaho NA,NA,13,2004,NA,NA,NA,NA,NA,NA,NA,NA
Illinois NA,NA,7.8,2004,NA,NA,NA,NA,NA,NA,NA,NA
Indiana NA,NA,10.3,2004,NA,NA,NA,NA,NA,NA,NA,NA
Iowa NA,NA,6.4,2004,NA,NA,NA,NA,NA,NA,NA,NA
Kansas NA,NA,10.8,2004,NA,NA,NA,NA,NA,NA,NA,NA
Kentucky NA,NA,13.1,2004,NA,NA,NA,NA,NA,NA,NA,NA
Louisiana NA,NA,19.6,2004,NA,NA,NA,NA,NA,NA,NA,NA
Maine NA,NA,7.8,2004,NA,NA,NA,NA,NA,NA,NA,NA
Maryland NA,NA,11.9,2004,NA,NA,NA,NA,NA,NA,NA,NA
Massachusetts NA,NA,3.2,2004,NA,NA,NA,NA,NA,NA,NA,NA
Michigan NA,NA,10.5,2004,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota NA,NA,7.1,2004,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi NA,NA,16.4,2004,NA,NA,NA,NA,NA,NA,NA,NA
Missouri NA,NA,11.5,2004,NA,NA,NA,NA,NA,NA,NA,NA
Montana NA,NA,13.1,2004,NA,NA,NA,NA,NA,NA,NA,NA
Nebraska NA,NA,6.7,2004,NA,NA,NA,NA,NA,NA,NA,NA
Nevada NA,NA,16.8,2004,NA,NA,NA,NA,NA,NA,NA,NA
New Hampshire NA,NA,5,2004,NA,NA,NA,NA,NA,NA,NA,NA
New Jersey NA,NA,5.4,2004,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico NA,NA,15.2,2004,NA,NA,NA,NA,NA,NA,NA,NA
New York NA,NA,4.9,2004,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina NA,NA,12.3,2004,NA,NA,NA,NA,NA,NA,NA,NA
North Dakota NA,NA,7.6,2004,NA,NA,NA,NA,NA,NA,NA,NA
Ohio NA,NA,9,2004,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma NA,NA,12.9,2004,NA,NA,NA,NA,NA,NA,NA,NA
Oregon NA,NA,10.4,2004,NA,NA,NA,NA,NA,NA,NA,NA
Pennsylvania NA,NA,10.2,2004,NA,NA,NA,NA,NA,NA,NA,NA
Rhode Island NA,NA,3.6,2004,NA,NA,NA,NA,NA,NA,NA,NA
South Carolina NA,NA,13.5,2004,NA,NA,NA,NA,NA,NA,NA,NA
South Dakota NA,NA,10,2004,NA,NA,NA,NA,NA,NA,NA,NA
Tennessee NA,NA,14.6,2004,NA,NA,NA,NA,NA,NA,NA,NA
Texas NA,NA,10.7,2004,NA,NA,NA,NA,NA,NA,NA,NA
Utah NA,NA,10.2,2004,NA,NA,NA,NA,NA,NA,NA,NA
Vermont NA,NA,9.5,2004,NA,NA,NA,NA,NA,NA,NA,NA
Virginia NA,NA,10.9,2004,NA,NA,NA,NA,NA,NA,NA,NA
Washington NA,NA,9.2,2004,NA,NA,NA,NA,NA,NA,NA,NA
West Virginia NA,NA,13.6,2004,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin NA,NA,7.4,2004,NA,NA,NA,NA,NA,NA,NA,NA
Wyoming NA,NA,11,2004,NA,NA,NA,NA,NA,NA,NA,NA
Alabama NA,NA,16,2005,NA,NA,NA,NA,NA,NA,NA,NA
Alaska NA,NA,17.5,2005,NA,NA,NA,NA,NA,NA,NA,NA
Arizona NA,NA,16.1,2005,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas NA,NA,15.7,2005,NA,NA,NA,NA,NA,NA,NA,NA
California NA,NA,9.5,2005,NA,NA,NA,NA,NA,NA,NA,NA
Colorado NA,NA,11.6,2005,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut NA,NA,5.3,2005,NA,NA,NA,NA,NA,NA,NA,NA
Delaware NA,NA,8.8,2005,NA,NA,NA,NA,NA,NA,NA,NA
Florida NA,NA,10,2005,NA,NA,NA,NA,NA,NA,NA,NA
Georgia NA,NA,12.1,2005,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii NA,NA,2.1,2005,NA,NA,NA,NA,NA,NA,NA,NA
Idaho NA,NA,14.1,2005,NA,NA,NA,NA,NA,NA,NA,NA
Illinois NA,NA,8,2005,NA,NA,NA,NA,NA,NA,NA,NA
Indiana NA,NA,11.2,2005,NA,NA,NA,NA,NA,NA,NA,NA
Iowa NA,NA,6.7,2005,NA,NA,NA,NA,NA,NA,NA,NA
Kansas NA,NA,9.3,2005,NA,NA,NA,NA,NA,NA,NA,NA
Kentucky NA,NA,13,2005,NA,NA,NA,NA,NA,NA,NA,NA
Louisiana NA,NA,18.5,2005,NA,NA,NA,NA,NA,NA,NA,NA
Maine NA,NA,7.8,2005,NA,NA,NA,NA,NA,NA,NA,NA
Maryland NA,NA,11.9,2005,NA,NA,NA,NA,NA,NA,NA,NA
Massachusetts NA,NA,3.4,2005,NA,NA,NA,NA,NA,NA,NA,NA
Michigan NA,NA,10.8,2005,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota NA,NA,7,2005,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi NA,NA,16,2005,NA,NA,NA,NA,NA,NA,NA,NA
Missouri NA,NA,12.9,2005,NA,NA,NA,NA,NA,NA,NA,NA
Montana NA,NA,16.9,2005,NA,NA,NA,NA,NA,NA,NA,NA
Nebraska NA,NA,7.7,2005,NA,NA,NA,NA,NA,NA,NA,NA
Nevada NA,NA,16.1,2005,NA,NA,NA,NA,NA,NA,NA,NA
New Hampshire NA,NA,6.6,2005,NA,NA,NA,NA,NA,NA,NA,NA
New Jersey NA,NA,5.2,2005,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico NA,NA,13.9,2005,NA,NA,NA,NA,NA,NA,NA,NA
New York NA,NA,5.3,2005,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina NA,NA,12.8,2005,NA,NA,NA,NA,NA,NA,NA,NA
North Dakota NA,NA,8.8,2005,NA,NA,NA,NA,NA,NA,NA,NA
Ohio NA,NA,9.6,2005,NA,NA,NA,NA,NA,NA,NA,NA
